"Group"	"Species"
"Malawimonadidae"	"Malawimonas_californiana"
"Malawimonadidae"	"Malawimonas_jakobiformis"
"Streptophyta"	"Arabidopsis_thaliana"
"Streptophyta"	"Mimulus_guttatus"
"Streptophyta"	"Aquilegia_coerulea"
"Streptophyta"	"Brachypodium_distachyon"
"Streptophyta"	"Sorghum_bicolor"
"Streptophyta"	"Amborella_trichopoda"
"Streptophyta"	"Salvinia_cucullata"
"Streptophyta"	"Azolla_filiculoides"
"Streptophyta"	"Selaginella_moellendorffii"
"Streptophyta"	"Physcomitrella_patens"
"Streptophyta"	"Sphagnum_phallax"
"Streptophyta"	"Marchantia_polymorpha"
"Streptophyta"	"Penium_margaritaceum"
"Streptophyta"	"Spirogloea_muscicola"
"Streptophyta"	"Mesotaenium_endlicherianum"
"Streptophyta"	"Chara_braunii"
"Streptophyta"	"Klebsormidium_nitens.fasta/flaccidum"
"Chlorophyta"	"Chlamydomonas_reinhardtii"
"Chlorophyta"	"Volvox_cartieri"
"Chlorophyta"	"Coccomyxa_subellipsoidea"
"Chlorophyta"	"Ulva_mutabilis"
"Chlorophyta"	"Caulerpa_lentillifera"
"Chlorophyta"	"Chlorella_vulgaris"
"Chlorophyta"	"Chlorella_variabilis"
"Chlorophyta"	"Chlorella_sp99"
"Chlorophyta"	"Ostreococcus_tauri"
"Chlorophyta"	"Micromonas_pusilla"
"Chlorophyta"	"Dunaliella_salina"
"Prasinodermophyta"	"Prasinoderma_coloniale"
"Rhodophyta"	"Cycnidioschyzion_merolae"
"Rhodophyta"	"Gracilariopsis_chorda"
"Rhodophyta"	"Chondrus_crispus"
"Rhodophyta"	"Pyropia_yezoensis"
"Glaucophyta"	"Cyanophora_paradoxa"
"Cryptista"	"Goniomonas_avonlea"
"Cryptista"	"Guillardia_theta"
"Haptophyta"	"Prymnesium_parvum"
"Haptophyta"	"Emiliania_huxleyi"
"Haptophyta"	"Chrysochromulina_tobin"
"Haptophyta"	"Diacronema_lutheri"
"Heterokonta"	"Ectocarpus_siliculosus"
"Heterokonta"	"Cladosiphon_okamuranus"
"Heterokonta"	"Saccharina_japonica"
"Heterokonta"	"Nannochloropsis_gaditana"
"Heterokonta"	"Aureococcus_anophagefferens"
"Heterokonta"	"Phaeodactylum_tricornutum"
"Heterokonta"	"Thalassiosira_pseudonana"
"Heterokonta"	"Phytophthora_infestans"
"Heterokonta"	"Saprolegnia_parasitica"
"Heterokonta"	"Albugo_laibachii"
"Heterokonta"	"Aurantiochytrium_limacinum"
"Heterokonta"	"Aplanochytrium_kerguelense"
"Heterokonta"	"Schizochytrium_aggregatum"
"Heterokonta"	"Blastocystis_hominis"
"Alveolata"	"Plasmodium_falciparum"
"Alveolata"	"Toxoplasma_gondii"
"Alveolata"	"Eimeria_tenella"
"Alveolata"	"Cryptosporidium_parvum"
"Alveolata"	"Vitrella_brassicaformis"
"Alveolata"	"Chromera_velia"
"Alveolata"	"Perkinsus_marinus"
"Alveolata"	"Amoebophrya_ceratii"
"Alveolata"	"Symbiodinium_minutum"
"Alveolata"	"Symbiodinium_kawagutii"
"Alveolata"	"Paramecium_tetraurelia"
"Alveolata"	"Oxytricha_trifallax"
"Alveolata"	"Tetrahymena_thermophila"
"Alveolata"	"Ichthyophthirius_multifiliis"
"Rhizaria"	"Reticulomyxa_filosa"
"Rhizaria"	"Bigelowiella_natans"
"Rhizaria"	"Plasmodiophora_brassicae"
"Rhizaria"	"Lotharella_oceanica"
"Telonemia"	"Telonema_sp_P2"
"Telonemia"	"Telonema_sp_P1"
"Telonemia"	"Telonema_subtilis"
"Hemimastigophora"	"Hemimastix_kukwesjijk"
"Hemimastigophora"	"Spironema_multiciliatum"
"Excavata"	"Naegleria_gruberi"
"Excavata"	"Neovahlkampfia_damariscottae"
"Excavata"	"Naegleria_fowleri"
"Excavata"	"Bodo_saltans"
"Excavata"	"Trypanosoma_cruzi"
"Excavata"	"Leishmania_major"
"Excavata"	"Leptomonas_seymouri"
"Excavata"	"Strigomonas_culicis"
"Excavata"	"Angomonas_deanei"
"Jakobida"	"Stygiella_incarcerata"
"Jakobida"	"Andalucia_godoyi"
"Metamonada"	"Trichomonas_vaginalis"
"Metamonada"	"Giardia_lamblia"
"Metamonada"	"Spironucleus_salmonicida"
"Metamonada"	"Kipferlia_bialata"
"Metamonada"	"Trimastix_marina"
"Heimdallarchaeota"	"Heimdallarchaeota"
"Lokiarchaeota"	"Lokiarchaeota"
"Thorarchaeota"	"Thorarchaeota"
"Odinarchaeota"	"Odinarchaeota_archaeon_LCB_4"
"Giant Virus (NCLDV)"	"NCVOG"
